0.511,1.254,1.091,0.286,1.061,1.683,3.021,0.895,2.186,0.852,1.882
0.514,1.256,1.092,0.285,1.069,1.687,3.01,0.9,2.187,0.851,1.879
0.518,1.256,1.092,0.287,1.076,1.688,3.016,0.902,2.2,0.859,1.891
0.515,1.254,1.084,0.287,1.070,1.683,3.004,0.901,2.194,0.856,1.886
0.52,1.264,1.09,0.289,1.084,1.689,3.018,0.907,2.208,0.86,1.896
0.522,1.268,1.091,0.29,1.090,1.691,3.004,0.918,2.21,0.861,1.897
0.525,1.271,1.093,0.29,1.101,1.703,3.028,0.925,2.22,0.867,1.913
0.525,1.273,1.093,0.291,1.109,1.704,3.025,0.927,2.223,0.866,1.909
0.527,1.286,1.099,0.291,1.117,1.712,3.035,0.935,2.231,0.87,1.916
0.529,1.288,1.097,0.294,1.128,1.715,3.047,0.945,2.241,0.875,1.925
0.528,1.305,1.105,0.294,1.125,1.716,3.053,0.941,2.244,0.874,1.929
0.526,1.308,1.105,0.295,1.127,1.713,3.058,0.939,2.239,0.872,1.928
0.529,1.304,1.101,0.295,1.135,1.719,3.053,0.945,2.242,0.873,1.928
0.52,1.284,1.095,0.292,1.118,1.703,3.019,0.933,2.216,0.862,1.905
0.517,1.291,1.099,0.292,1.117,1.702,3.006,0.937,2.209,0.862,1.902
0.518,1.281,1.093,0.295,1.132,1.709,3.018,0.941,2.219,0.864,1.914
0.525,1.29,1.093,0.298,1.148,1.73,3.037,0.956,2.244,0.877,1.935
0.526,1.301,1.098,0.299,1.150,1.729,3.044,0.955,2.25,0.876,1.937
0.523,1.296,1.095,0.3,1.141,1.728,3.04,0.952,2.245,0.874,1.936
0.518,1.3,1.098,0.299,1.133,1.724,3.029,0.946,2.235,0.872,1.928
0.522,1.29,1.088,0.3,1.135,1.727,3.045,0.948,2.242,0.874,1.936
0.522,1.302,1.1,0.301,1.132,1.725,3.035,0.945,2.245,0.875,1.936
0.53,1.299,1.098,0.305,1.148,1.745,3.076,0.959,2.273,0.886,1.958
0.528,1.304,1.1,0.307,1.140,1.749,3.101,0.958,2.274,0.887,1.966
0.536,1.314,1.1,0.312,1.139,1.775,3.186,0.954,2.32,0.906,2.006
0.541,1.311,1.1,0.316,1.149,1.791,3.218,0.965,2.351,0.918,2.029
0.555,1.306,1.099,0.322,1.169,1.829,3.358,0.98,2.409,0.94,2.087
0.56,1.304,1.099,0.322,1.180,1.839,3.373,0.985,2.42,0.946,2.095
0.559,1.303,1.095,0.32,1.182,1.83,3.348,0.99,2.409,0.944,2.087
0.568,1.308,1.094,0.323,1.196,1.855,3.397,0.999,2.444,0.956,2.116
0.56,1.287,1.076,0.322,1.185,1.847,3.355,0.99,2.417,0.943,2.092
0.57,1.286,1.073,0.33,1.201,1.87,3.436,1.004,2.463,0.962,2.139
0.572,1.288,1.074,0.328,1.206,1.869,3.401,1.008,2.457,0.959,2.132
0.572,1.279,1.067,0.327,1.215,1.867,3.364,1.013,2.443,0.955,2.118
0.565,1.281,1.068,0.322,1.204,1.848,3.306,1.005,2.415,0.944,2.084
0.568,1.272,1.062,0.324,1.210,1.849,3.31,1.008,2.42,0.946,2.093
0.575,1.286,1.074,0.327,1.229,1.88,3.364,1.026,2.45,0.957,2.121
0.574,1.29,1.073,0.325,1.236,1.879,3.331,1.029,2.441,0.956,2.114
0.572,1.285,1.072,0.327,1.236,1.876,3.34,1.027,2.446,0.955,2.118
