symbol= 511210, sharpRatio= 0.585281, cumret= 0.029535, maxDrawdown= -0.005969, maxDrawdownDuration= 41 
symbol= 512010, sharpRatio= 0.358811, cumret= 0.071603, maxDrawdown= -0.153392, maxDrawdownDuration= 124 
symbol= 512110, sharpRatio= -0.927979, cumret= -0.156522, maxDrawdown= -0.239634, maxDrawdownDuration= 173 
symbol= 512120, sharpRatio= 0.023390, cumret= 0.003663, maxDrawdown= -0.196662, maxDrawdownDuration= 181 
symbol= 512230, sharpRatio= -0.074129, cumret= -0.019120, maxDrawdown= -0.204767, maxDrawdownDuration= 207 
symbol= 512300, sharpRatio= -0.057599, cumret= -0.030702, maxDrawdown= -0.248261, maxDrawdownDuration= 207 
symbol= 512500, sharpRatio= -0.123096, cumret= -0.042043, maxDrawdown= -0.244263, maxDrawdownDuration= 207 
symbol= 512510, sharpRatio= -0.094373, cumret= -0.037363, maxDrawdown= -0.250107, maxDrawdownDuration= 207 
symbol= 512600, sharpRatio= 0.512825, cumret= 0.106805, maxDrawdown= -0.175891, maxDrawdownDuration= 99 
symbol= 512610, sharpRatio= -0.061169, cumret= -0.015861, maxDrawdown= -0.203307, maxDrawdownDuration= 207 
symbol= 512640, sharpRatio= 0.078586, cumret= 0.020847, maxDrawdown= -0.176749, maxDrawdownDuration= 148 
symbol= 513500, sharpRatio= 0.973765, cumret= 0.130724, maxDrawdown= -0.068229, maxDrawdownDuration= 43 
symbol= 513600, sharpRatio= 0.608515, cumret= 0.107816, maxDrawdown= -0.128469, maxDrawdownDuration= 67 
symbol= 513660, sharpRatio= 0.649994, cumret= 0.111004, maxDrawdown= -0.128452, maxDrawdownDuration= 64 
symbol= 518880, sharpRatio= 1.354367, cumret= 0.209069, maxDrawdown= -0.075808, maxDrawdownDuration= 85 
