Date,Open,High,Low,Close,Volume,Adj Close
2004-12-21,131.279995,132.319977,131.170017,132.319977,349200,18.579956
2004-12-20,130.960018,131.419979,130.759975,131.140022,267600,18.41427
2004-12-17,130.000019,130.45998,129.799976,130.249981,103800,18.289293
2004-12-16,130.830002,130.879978,129.700024,130.000019,99600,18.254195
2004-12-15,130.489975,131.549995,129.899998,131.299976,163200,18.43673
2004-12-14,129.550014,130.109997,129.010025,129.899998,151800,18.24015
2004-12-13,128.299976,129.569996,128.269981,129.430023,136200,18.174158
2004-12-10,128.899979,129.060001,127.470005,127.54002,69000,17.908769
2004-12-09,127.410004,128.68998,127.009975,128.370003,105600,18.025313
2004-12-08,126.049976,127.780025,125.220005,127.630016,228600,17.921406
2004-12-07,130.000019,130.000019,127.399979,127.589996,180600,17.915787
2004-12-06,130.300014,130.410004,129.240005,130.210018,119400,18.283682
2004-12-03,128.609997,130.579983,128.609997,130.099983,814800,18.268231
2004-12-02,132.169979,132.169979,128.77002,129.359997,324600,18.164325
2004-12-01,135.00,135.160023,132.739975,133.169998,177600,18.699313
2004-11-30,135.779995,135.839996,135.00,135.190018,103200,18.982958
2004-11-29,136.390022,136.450024,134.440018,135.299995,237000,18.998401
2004-11-26,135.629997,136.609978,135.629997,136.290001,134400,19.137414
2004-11-24,134.050014,134.809982,133.23,134.77002,567600,18.923983
2004-11-23,133.300014,134.069996,133.090015,133.330021,181200,18.721783
2004-11-22,131.910004,133.030025,131.599983,132.97998,475800,18.672631
2004-11-19,130.200005,131.640003,130.200005,131.440018,360000,18.456395
2004-11-18,129.48,130.109997,129.319977,130.109997,154200,18.269637
2004-11-17,129.199986,129.799976,128.839977,129.499981,147000,18.183981
2004-11-16,128.350021,128.77002,128.050014,128.069996,125400,17.983187
2004-11-15,130.50,130.50,127.570015,128.170017,166200,17.997231
2004-11-12,128.269981,130.620003,128.20998,130.549976,251400,18.331418
2004-11-11,127.600021,128.320015,127.600021,128.320015,172200,18.018294
2004-11-10,127.150017,128.370003,126.319977,128.189999,64800,18.000037
2004-11-09,127.169998,127.560001,126.700024,126.810001,63600,17.806262
2004-11-08,128.650017,128.650017,127.090015,127.200005,123600,17.861025
2004-11-05,128.410023,129.109978,128.009995,128.95998,121200,18.108156
2004-11-04,127.279976,128.230019,127.279976,128.200024,209400,18.001445
2004-11-03,125.700005,126.990005,125.189999,126.949986,173400,17.825918
2004-11-02,125.500019,125.549995,123.820015,123.990005,67200,17.410287
2004-11-01,127.000019,127.23,125.069996,125.350021,97800,17.601256
2004-10-29,125.119984,126.22998,124.93998,126.089996,53400,17.705161
2004-10-28,126.00,126.299995,124.210018,124.360016,285600,17.462243
2004-10-27,128.899979,129.049976,126.00,126.48,72600,17.759924
2004-10-26,127.699986,128.430004,127.150017,128.430004,91800,18.033738
2004-10-25,127.169998,127.930023,126.820015,127.529995,88800,17.907362
2004-10-22,127.72998,128.089977,127.140003,127.140003,56400,17.8526
2004-10-21,126.660004,127.589996,126.43998,127.300014,128400,17.875068
2004-10-20,124.300014,126.259975,124.300014,126.259975,111000,17.729029
2004-10-19,123.550014,124.50,123.330002,123.469975,237000,17.337266
2004-10-18,125.839977,125.839977,124.240025,124.240025,212400,17.445394
2004-10-15,126.199986,126.199986,125.440018,125.790001,163800,17.663037
2004-10-14,124.840015,125.939999,124.840015,125.359978,94200,17.602655
2004-10-13,125.100002,125.239975,123.010025,124.279976,299400,17.451004
2004-10-12,128.189999,128.25,126.919979,126.919979,158400,17.821705
2004-10-11,130.069977,130.069977,128.069996,128.339996,165000,18.021099
2004-10-08,129.720005,130.120022,129.00,129.559982,190200,18.192406
2004-10-07,131.050014,131.410023,129.250019,129.370022,171000,18.165732
