symbol= 510900, sharpRatio= 0.171388, cumret= 0.142063, maxDrawdown= -0.417289, maxDrawdownDuration= 351 
symbol= 511010, sharpRatio= 0.622297, cumret= 0.148594, maxDrawdown= -0.036108, maxDrawdownDuration= 182 
symbol= 511210, sharpRatio= 1.579294, cumret= 0.179892, maxDrawdown= -0.018450, maxDrawdownDuration= 77 
symbol= 512010, sharpRatio= 0.359859, cumret= 0.315500, maxDrawdown= -0.364043, maxDrawdownDuration= 346 
symbol= 512110, sharpRatio= 0.603650, cumret= 0.552000, maxDrawdown= -0.452501, maxDrawdownDuration= 312 
symbol= 512120, sharpRatio= 0.429577, cumret= 0.370000, maxDrawdown= -0.427907, maxDrawdownDuration= 346 
symbol= 512230, sharpRatio= 0.470362, cumret= 0.323600, maxDrawdown= -0.471975, maxDrawdownDuration= 346 
symbol= 512300, sharpRatio= 0.445692, cumret= 0.266000, maxDrawdown= -0.535832, maxDrawdownDuration= 346 
symbol= 512500, sharpRatio= -0.479424, cumret= -0.300500, maxDrawdown= -0.542571, maxDrawdownDuration= 346 
symbol= 512510, sharpRatio= -0.545413, cumret= -0.332700, maxDrawdown= -0.540056, maxDrawdownDuration= 346 
symbol= 512600, sharpRatio= 0.686964, cumret= 0.533087, maxDrawdown= -0.426600, maxDrawdownDuration= 346 
symbol= 512610, sharpRatio= 0.590828, cumret= 0.451174, maxDrawdown= -0.455280, maxDrawdownDuration= 346 
symbol= 512640, sharpRatio= 0.822566, cumret= 0.730796, maxDrawdown= -0.423892, maxDrawdownDuration= 350 
symbol= 513500, sharpRatio= 0.706926, cumret= 0.360600, maxDrawdown= -0.110724, maxDrawdownDuration= 66 
symbol= 513600, sharpRatio= 0.084548, cumret= 0.046000, maxDrawdown= -0.289869, maxDrawdownDuration= 365 
symbol= 513660, sharpRatio= 0.065722, cumret= 0.037900, maxDrawdown= -0.301775, maxDrawdownDuration= 355 
symbol= 518880, sharpRatio= -0.078120, cumret= 0.026500, maxDrawdown= -0.229108, maxDrawdownDuration= 687 
